Subject	Dutch_name	Stimulus_type	Response_type	label	onset	offset	Real_onset
AH01	schaal	picture	silent	silent	0	0,2	800
AH01	schaal	picture	silent	schaal	0,2	1,1	1000
AH01	schaal	picture	silent	!	1,1	1,2071	1900
AH01	schaap	picture	aloud	aloud	0	0,3611	800
AH01	schaap	picture	aloud	schaap	0,3611	0,9352	1161
AH01	schaap	picture	aloud	!	0,9352	1,2013	1735
AH01	schaats	picture	silent	silent	0	0,2	800
AH01	schaats	picture	silent	schaats	0,2	1,1	1000
AH01	schaats	picture	silent	!	1,1	1,2066	1900
AH01	schildpad	picture+word	aloud	aloud	0	0,3867	800
AH01	schildpad	picture+word	aloud	schildpad	0,3867	1,1	1187
AH01	schildpad	picture+word	aloud	!	1,1	1,2009	1900
AH01	schoorsteen	picture+word	aloud	aloud	0	0,4025	800
AH01	schoorsteen	picture+word	aloud	schoorsteen	0,4025	1,1154	1203
AH01	schoorsteen	picture+word	aloud	!	1,1154	1,2077	1915
AH01	schouder	picture	aloud	aloud	0	0,6906	800
AH01	schouder	picture	aloud	schouder	0,6906	1,1743	1491
AH01	schouder	picture	aloud	!	1,1743	1,2075	1974
AH01	schroevendraaier	picture+word	aloud	aloud	0	0,3747	800
AH01	schroevendraaier	picture+word	aloud	schroevendraaier	0,3747	1,1698	1175
AH01	schroevendraaier	picture+word	aloud	!	1,1698	1,2013	1970
AH01	sigaar	picture	aloud	aloud	0	0,3604	800
AH01	sigaar	picture	aloud	sigaar	0,3604	0,9019	1160
AH01	sigaar	picture	aloud	!	0,9019	1,2012	1702
AH01	skelet	picture	aloud	aloud	0	0,3906	800
AH01	skelet	picture	aloud	skelet	0,3906	1,0165	1191
AH01	skelet	picture	aloud	!	1,0165	1,2083	1817
AH01	sla	picture+word	silent	silent	0	0,2	800
AH01	sla	picture+word	silent	sla	0,2	1,1	1000
AH01	sla	picture+word	silent	!	1,1	1,201	1900
AH01	sok	picture+word	aloud	aloud	0	0,3777	800
AH01	sok	picture+word	aloud	sok	0,3777	0,8168	1178
AH01	sok	picture+word	aloud	!	0,8168	1,2013	1617
AH01	spatel	picture+word	aloud	aloud	0	0,4384	800
AH01	spatel	picture+word	aloud	spatel	0,4384	0,9756	1238
AH01	spatel	picture+word	aloud	!	0,9756	1,2083	1776
AH01	spiegel	picture+word	aloud	aloud	0	0,3743	800
AH01	spiegel	picture+word	aloud	spiegel	0,3743	0,9303	1174
AH01	spiegel	picture+word	aloud	!	0,9303	1,2047	1730
AH01	stanleymes	picture	silent	silent	0	0,2	800
AH01	stanleymes	picture	silent	stanleymes	0,2	1,1	1000
AH01	stanleymes	picture	silent	!	1,1	1,2077	1900
AH01	stoel	picture+word	aloud	aloud	0	0,3637	800
AH01	stoel	picture+word	aloud	stoel	0,3637	0,814	1164
AH01	stoel	picture+word	aloud	!	0,814	1,2073	1614
AH01	strijkplank	picture	silent	silent	0	0,2	800
