Subject	Dutch_name	Stimulus_type	Response_type	label	onset	offset	Real_onset	onset_ms
AH37	televisie	picture	aloud	aloud	0	0.47	800	0
AH37	televisie	picture	aloud	televisie	0.47	0.89	1270	470
AH37	televisie	picture	aloud	TV	0.89	12083	1687	887
AH37	tent	picture	aloud	aloud	0	0.4	800	0
AH37	tent	picture	aloud	tent	0.4	0.75	1199	399
AH37	tent	picture	aloud	!	0.75	12012	1547	747
AH37	theedoek	picture+word	silent	silent	0	0.2	800	0
AH37	theedoek	picture+word	silent	theedoek	0.2	1.1	1000	200
AH37	theedoek	picture+word	silent	!	1.1	12008	1900	1100
AH37	theezakje	picture+word	silent	silent	0	0.2	800	0
AH37	theezakje	picture+word	silent	theezakje	0.2	1.1	1000	200
AH37	theezakje	picture+word	silent	!	1.1	12035	1900	1100
AH37	thermometer	picture+word	aloud	aloud	0	0.38	800	0
AH37	thermometer	picture+word	aloud	thermometer	0.38	0.96	1179	379
AH37	thermometer	picture+word	aloud	!	0.96	12048	1758	958
AH37	tijger	picture	silent	silent	0	0.2	800	0
AH37	tijger	picture	silent	tijger	0.2	1.1	1000	200
AH37	tijger	picture	silent	!	1.1	11996	1900	1100
AH37	toetsenbord	picture	silent	silent	0	0.2	800	0
AH37	toetsenbord	picture	silent	toetsenbord	0.2	1.1	1000	200
AH37	toetsenbord	picture	silent	!	1.1	12029	1900	1100
AH37	tomaat	picture	silent	silent	0	0.2	800	0
AH37	tomaat	picture	silent	tomaat	0.2	1.1	1000	200
AH37	tomaat	picture	silent	!	1.1	12072	1900	1100
AH37	trampoline	picture	aloud	aloud	0	0.41	800	0
AH37	trampoline	picture	aloud	trampoline	0.41	0.98	1214	414
AH37	trampoline	picture	aloud	!	0.98	12069	1779	979
AH37	vaas	picture+word	aloud	aloud	0	0.43	800	0
AH37	vaas	picture+word	aloud	vaas	0.43	0.82	1229	429
AH37	vaas	picture+word	aloud	!	0.82	12039	1617	817
AH37	varken	picture	silent	silent	0	0.2	800	0
AH37	varken	picture	silent	varken	0.2	1.1	1000	200
AH37	varken	picture	silent	!	1.1	12013	1900	1100
AH37	veiligheidsspeld	picture	aloud	aloud	0	0.72	800	0
AH37	veiligheidsspeld	picture	aloud	veiligheidsspeld	0.72	11691	1516	716
AH37	veiligheidsspeld	picture	aloud	PAPERCLIP	1.17	12026	1969	1169
AH37	ventilator	picture	silent	silent	0	0.2	800	0
AH37	ventilator	picture	silent	ventilator	0.2	1.1	1000	200
AH37	ventilator	picture	silent	!	1.1	12047	1900	1100
AH37	vergiet	picture+word	silent	silent	0	0.2	800	0
AH37	vergiet	picture+word	silent	vergiet	0.2	1.1	1000	200
AH37	vergiet	picture+word	silent	!	1.1	12031	1900	1100
AH37	verrekijker	picture+word	aloud	aloud	0	0.5	800	0
AH37	verrekijker	picture+word	aloud	verrekijker	0.5	10775	1298	498
AH37	verrekijker	picture+word	aloud	!	1.08	11994	1878	1078
AH37	veter	picture+word	silent	silent	0	0.2	800	0
AH37	veter	picture+word	silent	veter	0.2	1.1	1000	200
AH37	veter	picture+word	silent	!	1.1	12067	1900	1100
AH37	vingerafdruk	picture+word	aloud	aloud	0	0.38	800	0
AH37	vingerafdruk	picture+word	aloud	vingerafdruk	0.38	10365	1182	382
AH37	vingerafdruk	picture+word	aloud	!	1.04	1206	1837	1037
AH37	vlinder	picture+word	silent	silent	0	0.2	800	0
AH37	vlinder	picture+word	silent	vlinder	0.2	1.1	1000	200
AH37	vlinder	picture+word	silent	!	1.1	12078	1900	1100
AH37	vork	picture	silent	silent	0	0.2	800	0
AH37	vork	picture	silent	vork	0.2	1.1	1000	200
AH37	vork	picture	silent	!	1.1	12042	1900	1100
AH37	wasknijper	picture+word	aloud	aloud	0	0.39	800	0
AH37	wasknijper	picture+word	aloud	wasknijper	0.39	0.94	1193	393
AH37	wasknijper	picture+word	aloud	!	0.94	12031	1736	936
AH37	weg	picture+word	aloud	aloud	0	0.36	800	0
AH37	weg	picture+word	aloud	weg	0.36	0.75	1161	361
AH37	weg	picture+word	aloud	!	0.75	12075	1553	753
AH37	wol	picture+word	silent	silent	0	0.2	800	0
AH37	wol	picture+word	silent	wol	0.2	1.1	1000	200
AH37	wol	picture+word	silent	!	1.1	12026	1900	1100
AH37	zandkasteel	picture	aloud	aloud	0	0.59	800	0
AH37	zandkasteel	picture	aloud	zandkasteel	0.59	11785	1390	590
AH37	zandkasteel	picture	aloud	!	1.18	12069	1979	1179
AH37	zout	picture	aloud	aloud	0	0.71	800	0
AH37	zout	picture	aloud	zout	0.71	10823	1506	706
AH37	zout	picture	aloud	PEPER	1.08	11995	1882	1082
AH38	aansteker	picture+word	silent	silent	0	0.2	800	0
AH38	aansteker	picture+word	silent	aansteker	0.2	1.1	1000	200
AH38	aansteker	picture+word	silent	!	1.1	1205	1900	1100
AH38	accordeon	picture	aloud	aloud	0	0.55	800	0
AH38	accordeon	picture	aloud	accordeon	0.55	10334	1349	549
AH38	accordeon	picture	aloud	!	1.03	11996	1833	1033
AH38	afstandsbediening	picture	aloud	aloud	0	0.24	800	0
AH38	afstandsbediening	picture	aloud	afstandsbediening	0.24	0.91	1045	245
AH38	afstandsbediening	picture	aloud	!	0.91	12041	1708	908
AH38	afwasmiddel	picture+word	silent	silent	0	0.2	800	0
AH38	afwasmiddel	picture+word	silent	afwasmiddel	0.2	1.1	1000	200
AH38	afwasmiddel	picture+word	silent	!	1.1	12036	1900	1100
AH38	aluminiumfolie	picture	aloud	aloud	0	0.52	800	0
AH38	aluminiumfolie	picture	aloud	aluminiumfolie	0.52	10851	1321	521
AH38	aluminiumfolie	picture	aloud	SCHEPPAPIER	1.09	12036	1885	1085
AH38	amandelen	picture	aloud	aloud	0	0.38	800	0
AH38	amandelen	picture	aloud	amandelen	0.38	0.92	1185	385
AH38	amandelen	picture	aloud	PEDDELS?	0.92	1208	1715	915
AH38	ananas	picture	aloud	aloud	0	0.37	800	0
AH38	ananas	picture	aloud	ananas	0.37	0.9	1171	371
AH38	ananas	picture	aloud	!	0.9	12036	1700	900
AH38	appel	picture	silent	silent	0	0.2	800	0
AH38	appel	picture	silent	appel	0.2	1.1	1000	200
AH38	appel	picture	silent	!	1.1	12008	1900	1100
AH38	armband	picture+word	silent	silent	0	0.2	800	0
AH38	armband	picture+word	silent	armband	0.2	1.1	1000	200
AH38	armband	picture+word	silent	!	1.1	12088	1900	1100
AH38	aubergine	picture	silent	silent	0	0.2	800	0
AH38	aubergine	picture	silent	aubergine	0.2	1.1	1000	200
AH38	aubergine	picture	silent	!	1.1	12017	1900	1100
AH38	auto	picture	aloud	aloud	0	0.32	800	0
AH38	auto	picture	aloud	auto	0.32	0.62	1119	319
AH38	auto	picture	aloud	!	0.62	12067	1422	622
AH38	avocado	picture+word	aloud	aloud	0	0.46	800	0
AH38	avocado	picture+word	aloud	avocado	0.46	0.98	1258	458
AH38	avocado	picture+word	aloud	!	0.98	12034	1785	985
AH38	bad	picture	silent	silent	0	0.2	800	0
AH38	bad	picture	silent	bad	0.2	1.1	1000	200
AH38	bad	picture	silent	!	1.1	12085	1900	1100
AH38	bank	picture	aloud	aloud	0	0.25	800	0
AH38	bank	picture	aloud	bank	0.25	0.6	1052	252
AH38	bank	picture	aloud	!	0.6	1.2	1397	597
AH38	basketbal	picture+word	silent	silent	0	0.2	800	0
AH38	basketbal	picture+word	silent	basketbal	0.2	1.1	1000	200
AH38	basketbal	picture+word	silent	!	1.1	11993	1900	1100
AH38	batterij	picture+word	silent	silent	0	0.2	800	0
AH38	batterij	picture+word	silent	batterij	0.2	1.1	1000	200
AH38	batterij	picture+word	silent	!	1.1	12005	1900	1100
AH38	beer	picture+word	aloud	aloud	0	0.37	800	0
AH38	beer	picture+word	aloud	beer	0.37	0.72	1174	374
AH38	beer	picture+word	aloud	!	0.72	12084	1520	720
AH38	bezem	picture+word	aloud	aloud	0	0.31	800	0
AH38	bezem	picture+word	aloud	bezem	0.31	0.62	1113	313
AH38	bezem	picture+word	aloud	!	0.62	12035	1422	622
AH38	blad	picture+word	silent	silent	0	0.2	800	0
AH38	blad	picture+word	silent	blad	0.2	1.1	1000	200
AH38	blad	picture+word	silent	!	1.1	12008	1900	1100
AH38	bladmuziek	picture+word	silent	silent	0	0.2	800	0
AH38	bladmuziek	picture+word	silent	bladmuziek	0.2	1.1	1000	200
AH38	bladmuziek	picture+word	silent	!	1.1	1.2	1900	1100
AH38	blender	picture	silent	silent	0	0.2	800	0
AH38	blender	picture	silent	blender	0.2	1.1	1000	200
AH38	blender	picture	silent	!	1.1	12049	1900	1100
AH38	bloemkool	picture+word	aloud	aloud	0	0.39	800	0
AH38	bloemkool	picture+word	aloud	bloemkool	0.39	0.78	1191	391
AH38	bloemkool	picture+word	aloud	!	0.78	12038	1582	782
AH38	boek	picture	silent	silent	0	0.2	800	0
AH38	boek	picture	silent	boek	0.2	1.1	1000	200
AH38	boek	picture	silent	!	1.1	12044	1900	1100
AH38	boog	picture	silent	silent	0	0.2	800	0
AH38	boog	picture	silent	boog	0.2	1.1	1000	200
AH38	boog	picture	silent	!	1.1	12036	1900	1100
AH38	broodrooster	picture+word	aloud	aloud	0	0.39	800	0
AH38	broodrooster	picture+word	aloud	broodrooster	0.39	10198	1186	386
AH38	broodrooster	picture+word	aloud	!	1.02	12088	1820	1020
AH38	bus	picture+word	silent	silent	0	0.2	800	0
AH38	bus	picture+word	silent	bus	0.2	1.1	1000	200
AH38	bus	picture+word	silent	!	1.1	12066	1900	1100
AH38	cactus	picture	aloud	aloud	0	0.32	800	0
AH38	cactus	picture	aloud	cactus	0.32	0.83	1117	317
AH38	cactus	picture	aloud	!	0.83	12078	1628	828
AH38	citroen	picture	silent	silent	0	0.2	800	0
AH38	citroen	picture	silent	citroen	0.2	1.1	1000	200
AH38	citroen	picture	silent	!	1.1	11998	1900	1100
AH38	cupcake	picture+word	silent	silent	0	0.2	800	0
